,title,artist,top genre,year,bpm,nrgy,dnce
1,Hey Soul Sister,Train,neo mellow,2010,97,89,67
2,Love The Way You Lie,Eminem,detroit hip hop,2010,87,93,75
3,TiK ToK,Kesha,dance pop,2010,120,84,76
4,Bad Romance,Lady Gaga,dance pop,2010,119,92,70
5,Just the Way You Are,Bruno Mars,pop,2010,109,84,64
6,Baby,Justin Bieber,canadian pop,2010,65,86,73
7,Dynamite,Taio Cruz,dance pop,2010,120,78,75
8,Secrets,OneRepublic,dance pop,2010,148,76,52
9,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010,93,37,48
10,Only Girl (In The World),Rihanna,barbadian pop,2010,126,72,79
11,Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,128,87,62
12,Marry You,Bruno Mars,pop,2010,145,83,62
13,Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130,82,77
14,Telephone,Lady Gaga,dance pop,2010,122,83,83
15,Like A G6,Far East Movement,dance pop,2010,125,84,44
16,OMG (feat. will.i.am),Usher,atl hip hop,2010,130,75,78
17,Eenie Meenie,Sean Kingston,dance pop,2010,121,61,72
18,The Time (Dirty Bit),The Black Eyed Peas,dance pop,2010,128,81,82
19,Alejandro,Lady Gaga,dance pop,2010,99,80,63
20,Your Love Is My Drug,Kesha,dance pop,2010,120,61,83
21,Meet Me Halfway,The Black Eyed Peas,dance pop,2010,130,63,80
22,Whataya Want from Me,Adam Lambert,australian pop,2010,186,68,44
23,Take It Off,Kesha,dance pop,2010,125,68,73
24,Misery,Maroon 5,pop,2010,103,81,70
25,All The Right Moves,OneRepublic,dance pop,2010,146,95,53
26,Animal,Neon Trees,indie pop,2010,148,83,48
27,Naturally,Selena Gomez & The Scene,dance pop,2010,133,90,61
28,I Like It,Enrique Iglesias,dance pop,2010,129,94,65
29,Teenage Dream,Katy Perry,dance pop,2010,120,80,72
30,California Gurls,Katy Perry,dance pop,2010,125,75,79
31,3,Britney Spears,dance pop,2010,135,71,70
32,My First Kiss - feat. Ke$ha,3OH!3,dance pop,2010,138,89,68
33,Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,2010,120,84,75
34,Imma Be,The Black Eyed Peas,dance pop,2010,92,52,60
35,Try Sleeping with a Broken Heart,Alicia Keys,hip pop,2010,111,82,50
